127.0.0.1, 2024-03-07 17:43:14, GET, /, HTTP/1.1, 303, 0.007071
127.0.0.1, 2024-03-07 17:43:15, GET, /, HTTP/1.1, 303, 0.000687
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/default/index, HTTP/1.1, 200, 1.310983
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.062675
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000628
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002601
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000524
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000509
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000511
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001173
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001236
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001176
127.0.0.1, 2024-03-07 17:43:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.007769
127.0.0.1, 2024-03-07 17:43:17, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.003671
127.0.0.1, 2024-03-07 17:43:17, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000843
127.0.0.1, 2024-03-07 17:43:17, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000661
127.0.0.1, 2024-03-07 17:43:18, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001639
